algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,10,0.0067,0.0006,0.0045
shamir,20,0.0054,0.0001,0.0009
shamir,30,0.0065,0.0006,0.0041
shamir,40,0.0066,0.0006,0.0044
shamir,50,0.0058,0.0003,0.0023
shamir,60,0.0053,0.0001,0.0006
shamir,70,0.0053,0.0001,0.0006
shamir,80,0.0061,0.0006,0.0046
shamir,90,0.0056,0.0001,0.0006
shamir,100,0.0102,0.0005,0.0037
shamir,110,0.0137,0.0003,0.0019
shamir,120,0.0135,0.0001,0.0009
shamir,130,0.0134,0.0001,0.0007
shamir,140,0.0139,0.0002,0.0013
shamir,150,0.0144,0.0002,0.0017
shamir,160,0.0145,0.0004,0.0032
shamir,170,0.0123,0.0002,0.0014
shamir,180,0.0119,0.0002,0.0017
shamir,190,0.0120,0.0001,0.0004
shamir,200,0.0120,0.0001,0.0004
shamir,210,0.0121,0.0001,0.0006
shamir,220,0.0121,0.0001,0.0006
shamir,230,0.0122,0.0001,0.0006
shamir,240,0.0124,0.0001,0.0006
shamir,250,0.0125,0.0001,0.0006
shamir,260,0.0126,0.0002,0.0013
shamir,270,0.0127,0.0002,0.0016
shamir,280,0.0127,0.0001,0.0008
shamir,290,0.0116,0.0002,0.0017
shamir,300,0.0113,0.0002,0.0016
shamir,310,0.0111,0.0001,0.0006
shamir,320,0.0111,0.0001,0.0005
shamir,330,0.0112,0.0001,0.0007
shamir,340,0.0119,0.0004,0.0027
shamir,350,0.0114,0.0001,0.0007
shamir,360,0.0117,0.0001,0.0008
shamir,370,0.0116,0.0001,0.0006
shamir,380,0.0118,0.0001,0.0005
shamir,390,0.0118,0.0001,0.0009
shamir,400,0.0101,0.0001,0.0007
shamir,410,0.0103,0.0001,0.0006
shamir,420,0.0111,0.0006,0.0045
shamir,430,0.0107,0.0002,0.0012
shamir,440,0.0107,0.0001,0.0007
shamir,450,0.0105,0.0001,0.0006
shamir,460,0.0107,0.0001,0.0006
shamir,470,0.0110,0.0001,0.0007
shamir,480,0.0107,0.0001,0.0006
shamir,490,0.0111,0.0001,0.0008
shamir,500,0.0111,0.0001,0.0006
shamir,510,0.0107,0.0001,0.0009
shamir,520,0.0102,0.0003,0.0025
shamir,530,0.0102,0.0002,0.0014
shamir,540,0.0101,0.0001,0.0009
shamir,550,0.0100,0.0001,0.0005
shamir,560,0.0101,0.0001,0.0006
